[09/10/22 06:22:28] [INFO] received Windows console close event; shutting log-core down
[09/10/22 06:23:22] [INFO] received Windows console close event; shutting log-core down
[09/10/22 06:26:14] [INFO] received Windows console close event; shutting log-core down
[09/10/22 06:41:57] [INFO] received Windows console close event; shutting log-core down
[09/10/22 06:41:58] [INFO] received Windows console close event; shutting log-core down
[09/10/22 06:43:50] [INFO] received Windows console close event; shutting log-core down
[09/10/22 07:15:07] [INFO] received Windows console close event; shutting log-core down
[09/10/22 08:13:31] [INFO] received Windows console close event; shutting log-core down
[09/10/22 08:16:52] [INFO] received Windows console close event; shutting log-core down
[09/10/22 08:44:18] [INFO] received Windows console close event; shutting log-core down
[09/10/22 09:58:50] [INFO] received Windows console close event; shutting log-core down
[09/10/22 20:39:05] [INFO] received Windows console close event; shutting log-core down
